Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C2, C3, C9",0603,7,100nF,
"C10, C13, C4",0805,3,1uF,
"C17, C5",0603,2,0.1uF,
"C18, C19",0805,2,22uF,
C20,1210,1,10uF,
C21,0603,1,10nF,
C22,0603,1,4.7nF,
C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,100uF,
D1,0603,1,LED,
D2,D_SOD-123,1,NSI45030AT1G,
D3,D_SMB,1,B360,
F1,1206,1,Fuse,
J1,STP0177A-128160,1,Conn_01x14,
J2,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1,aNTC,
J3,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1,hNTC,
J4,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Fan,
J5,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,HT,
J6,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Power,
J7,PinHeader_2x03_P2.54mm_Vertical_SMD,1,Conn_02x03_Odd_Even,
L1,L_APV_ANR4020,1,10uH,
Q1,SC-70-6L_L2.0-W2.0-P0.65-BL,1,SIA440DJ-T1-GE3,C727349
"Q2, Q3",SOT-23,2,AO3400A,
"R1, R10, R11, R2, R6",0603,5,100,
"R12, R15",0603,2,10k,
R13,0603,1,22,
R14,0603,1,31.6k,
R16,0603,1,124k,
R17,0603,1,30.1k,
R18,0603,1,412k,
R19,0603,1,20k,
"R3, R5, R7, R8, R9",0603,5,100k,
R4,0603,1,470,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,CS1213AGF260,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32C011F4Px,
U3,HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.83x1.89mm_ThermalVias,1,TPS54240DGQ,
